environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.610743002576453
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.833808973561674
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7686446527886035
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.6613955849735388
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7594701381119204
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6881384391822307
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.8911744797332453
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.6112695025718818
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6126188796957477
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.7657728174113319
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8670716574512844
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8237046111435025
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.206195604129214
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7906776845078127
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6636058546904057
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.1090893871635386
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8034438209485293
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8751731586933349
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.2134078333700575
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7720584840990549
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7358410169406953
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.6763210690136052
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.6480773424146138
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6333233028302633
