environment,model,state_id,task_id,evaluation_seed,split,variant,method,adaptation_seed,projection_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,pose_error,selected_action,oracle_action,selected_is_null
PushT,jepa_wm_pusht,14,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.22439910568143512,0.9732330400863164,0.0,1.140778516392647,0.037465583559003535,5,2,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.9440353041713597,1.0,0.8964243174518408,0.05054483059494182,2,2,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,nan,1.0,nan,0.08329557927704326,9,0,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.849834776720147,1.0,0.832637119902163,0.04923253379043798,2,2,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.8528416869314931,1.0,0.5396161764300902,0.061207871579988894,3,3,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.04667333317829818,0.8200181361056532,0.0,0.7748634992847448,0.03341104695729731,6,4,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.7376340712204844,1.0,1.1156362601780172,0.09240234853071749,6,6,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.49616677929409586,1.0,1.1032449222855145,0.13758073493509623,6,6,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,nan,1.0,nan,0.06159834885408015,9,0,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,1.0,0.36553256617839036,0.0,1.8540813545980483,0.07165886523981492,6,2,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.6865869828512569,1.0,1.0126475443102478,0.0877055693128949,3,3,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,nan,1.0,nan,0.05573872026801141,5,0,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,1.0,0.40933453107865747,0.0,1.909812001390117,0.08678804867981879,7,2,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.36289437302384253,0.4645597717453163,0.0,1.358022422676865,0.09724367921131065,5,2,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,1.0,0.28004697595109257,0.0,3.7658478938900717,0.0907349972047268,4,7,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.9752101723939484,1.0,0.9152554172675464,0.08896108148981016,7,7,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.6450979154943178,1.0,0.9917465710845988,0.09734497117003162,5,5,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.7367978643897668,1.0,1.0730721723430507,0.03895701332210242,8,8,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.06837919317243876,0.6053230516561058,0.0,1.2933838746544746,0.14837914444946074,6,8,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,1.0,0.23718590825530034,0.0,1.5850533041366908,0.27867997608313405,3,8,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,nan,1.0,nan,0.027110940414804847,5,0,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,1.0,0.13990424287021383,0.0,3.488216330653605,0.07145702759541872,6,2,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.9201623592444889,1.0,0.5929775970135769,0.05635919331394164,3,3,0
PushT,jepa_wm_pusht,22,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,1.0,0.5555555555555556,0.0,21.304595815001896,0.05702897041296658,0,6,1
PushT,jepa_wm_pusht,22,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.1402584854949118,0.8580422417885145,0.0,1.5024893537112771,0.06677546467925777,2,4,0
PushT,jepa_wm_pusht,22,2,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.16420548128968346,0.7192006737640486,0.0,1.0447685850302901,0.07478944883341336,2,4,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.8184373479905506,0.015621180982714781,0.0,2.456045457589182,0.24376409309379116,6,9,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.10029137060733691,0.7881864618573637,0.0,0.916335672764971,0.24610391335739906,2,9,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.01662600440501789,0.9317428778560349,0.0,0.5940807555208,0.25824750212592545,5,9,0
PushT,jepa_wm_pusht,48,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.9850304237223114,1.0,0.5692290036911911,0.14759039183556819,9,9,0
PushT,jepa_wm_pusht,48,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.03292797551033872,0.831759731551,0.0,0.7753835762045798,0.08092626773725693,7,5,0
PushT,jepa_wm_pusht,48,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.8085177303291154,1.0,0.8415828486028556,0.11620153426452592,5,5,0
PushT,jepa_wm_pusht,49,6,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.021846463468537518,0.8964155399901228,0.0,0.5018888792816772,0.09786438745648447,7,5,0
PushT,jepa_wm_pusht,49,6,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.9123426857324327,1.0,0.6287706075888247,0.0719157249220106,5,5,0
PushT,jepa_wm_pusht,49,6,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.11307668388713481,0.8408646750298931,0.0,0.8175352560546014,0.14576957531416873,7,5,0
PushT,jepa_wm_pusht,50,6,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.6799325238708473,0.06256493344993416,0.0,1.5193625960026078,0.0573076474415945,8,1,0
PushT,jepa_wm_pusht,50,6,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.9558601508466762,1.0,0.3559385113322639,0.04699713217341395,2,2,0
PushT,jepa_wm_pusht,50,6,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.19887118635918416,0.7873859250158747,0.0,0.8775709312202431,0.10109778437244521,1,2,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,1.0,0.04454768144317054,0.0,1.5885703412292662,0.05707437276120971,8,9,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.8847537777334552,1.0,0.4926989194793359,0.04890303455039572,9,9,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.938752684289248,1.0,0.5002128622655271,0.06877499081928824,9,9,0
PushT,jepa_wm_pusht,52,6,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.4444444444444444,1.0,50.649096515221544,0.06151384865161832,4,0,0
PushT,jepa_wm_pusht,52,6,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.13522847553569003,0.9602622514147245,0.0,1.1347844797682909,0.0748135627703692,1,2,0
