environment,model,state_id,task_id,variant,method,adaptation_seed,decoder_index,decoder_projection_seed,horizon,certificate_bound,normalized_gap,certificate_normalized_regret_q,conventional_normalized_regret,regret_bound_holds,top1_certified,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,0,13501,3,1.2752375010984769,0.14967206398860944,0.14967206398860944,0.14967206398860944,True,False,False,5,2
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,1,13519,3,1.6528822680465356,0.14967206398860944,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,2,13537,3,1.462779447884756,0.14967206398860944,0.6032872167889128,0.6032872167889128,True,False,False,0,2
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,0,13501,6,0.79184630822868,0.27989109651126526,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,1,13519,6,1.1528201937085556,0.27989109651126526,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,2,13537,6,1.0885737976486096,0.27989109651126526,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,0,13501,1,26544.176663132024,inf,0.0,0.0,True,False,True,6,0
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,1,13519,1,26584.54965121368,inf,0.0,0.0,True,False,True,8,0
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,2,13537,1,85402.80834424162,inf,0.0,0.0,True,False,True,9,0
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,0,13501,3,1.7151658946846888,0.27850140655302486,0.44201480759003287,0.44201480759003287,True,False,False,5,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,1,13519,3,2.4205653492880193,0.27850140655302486,1.0,1.0,True,False,False,7,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,2,13537,3,2.445116423407444,0.27850140655302486,0.44201480759003287,0.44201480759003287,True,False,False,5,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,0,13501,6,1.129126842606805,0.045141008814957334,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,1,13519,6,1.4945922864803576,0.045141008814957334,1.0,1.0,True,False,False,7,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,2,13537,6,1.1935378051054282,0.045141008814957334,0.36289437302384253,0.36289437302384253,True,False,False,5,2
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,0,13501,1,5.705285867838986,0.30581859652833554,0.30581859652833554,0.30581859652833554,True,False,False,9,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,1,13519,1,4.27525644129307,0.30581859652833554,0.7032907354635126,0.7032907354635126,True,False,False,5,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,2,13537,1,4.992222260599527,0.30581859652833554,0.30581859652833554,0.30581859652833554,True,False,False,9,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,0,13501,3,2.371963071480382,0.08549327156519568,0.0,0.0,True,False,True,7,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,1,13519,3,1.097917706516176,0.08549327156519568,0.0,0.0,True,False,True,7,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,2,13537,3,2.1413604143461415,0.08549327156519568,0.840133628508192,0.840133628508192,True,False,False,9,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,0,13501,6,2.4797465987740477,0.05206520357815755,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,1,13519,6,2.1916880429815695,0.05206520357815755,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,2,13537,6,2.2201208188067985,0.05206520357815755,0.05206520357815755,0.05206520357815755,True,False,False,7,5
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,0,13501,1,1.6221361308605693,0.071849549171498,0.071849549171498,0.071849549171498,True,False,False,6,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,1,13519,1,1.742295977636115,0.071849549171498,0.7957935685153475,0.7957935685153475,True,False,False,5,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,2,13537,1,2.4481166849061524,0.071849549171498,0.0,0.0,True,False,True,8,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,0,13501,3,1.219156536145975,0.06837919317243876,0.4266659652735245,0.4266659652735245,True,False,False,4,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,1,13519,3,2.2153663907381316,0.06837919317243876,0.9103992805710343,0.9103992805710343,True,False,False,5,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,2,13537,3,1.5918855161919334,0.06837919317243876,0.4266659652735245,0.4266659652735245,True,False,False,4,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,0,13501,6,1.6202358592496635,0.056057307459408214,0.4219198098666871,0.4219198098666871,True,False,False,2,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,1,13519,6,2.10564068006567,0.056057307459408214,1.0,1.0,True,False,False,3,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,2,13537,6,1.7478812142739502,0.056057307459408214,1.0,1.0,True,False,False,3,8
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,0,13501,1,58335.265269711024,inf,0.0,0.0,True,False,True,9,0
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,1,13519,1,42286.934039999556,inf,0.0,0.0,True,False,True,4,0
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,2,13537,1,58418.3499975442,inf,0.0,0.0,True,False,True,0,0
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,0,13501,3,2.378386799368698,0.10022651401688715,0.7585503102919223,0.7585503102919223,True,False,False,4,2
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,1,13519,3,3.8052356477548233,0.10022651401688715,0.45436799300297653,0.45436799300297653,True,False,False,1,2
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,2,13537,3,3.9581003161125237,0.10022651401688715,0.6588348079990693,0.6588348079990693,True,False,False,8,2
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,0,13501,6,0.7120258528108069,0.32957479347041385,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,1,13519,6,0.7654388198432923,0.32957479347041385,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,2,13537,6,1.0787826226516695,0.32957479347041385,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,0,13501,1,61.479871628011715,1.0,1.0,1.0,True,False,False,0,6
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,1,13519,1,81.6845062701969,1.0,1.0,1.0,True,False,False,4,6
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,2,13537,1,83.46756683136334,1.0,1.0,1.0,True,False,False,8,6
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,0,13501,3,0.9861151954244202,0.1402584854949118,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,1,13519,3,1.066454563423363,0.1402584854949118,0.1402584854949118,0.1402584854949118,True,False,False,2,4
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,2,13537,3,2.095298546750845,0.1402584854949118,0.1402584854949118,0.1402584854949118,True,False,False,2,4
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,0,13501,6,0.8275863103353855,0.16420548128968346,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,1,13519,6,1.831222160006242,0.16420548128968346,0.0,0.0,True,False,True,4,4
