environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,native_anchor
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.02725824899971485
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0361231192946434
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.04875601828098297
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.023204855620861053
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.044432055205106735
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.05466378852725029
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.018861867487430573
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.05361028015613556
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.048194799572229385
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.02406325377523899
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.027462229132652283
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.03957228735089302
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.08372281491756439
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04460718110203743
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.04915609583258629
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.04009060561656952
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04259754344820976
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.034749746322631836
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.03348066285252571
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04838845506310463
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.07192548364400864
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.03999413922429085
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04427483305335045
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.045425642281770706
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.01839708723127842
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.03132806345820427
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.03908572345972061
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.03258746117353439
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.03466739505529404
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.04803693667054176
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.07733725756406784
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.11045531928539276
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.1281735897064209
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.021381134167313576
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.057870958000421524
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.057880595326423645
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.03655000030994415
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.05902547761797905
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.07779275625944138
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.05312279984354973
