environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.9786737532318673,1.0,7,7
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.05206520357815755,0.7529317406830456,0.0,7,5
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,0.9739510583341469,1.0,8,8
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.06837919317243876,0.7738572605371317,0.0,6,8
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.1598567604023869,0.0,3,8
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.7585503102919223,0.5496936158269279,0.0,4,2
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.7203268319355824,1.0,3,3
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,1.0,0.1111111111111111,0.0,5,6
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.9032060641008308,1.0,4,4
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.6356313457675533,0.0,6,4
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.06271666156975347,0.5342011799486573,0.0,5,9
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,1.0,0.1850522766331024,0.0,8,9
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.01662600440501789,0.4743411192746593,0.0,5,9
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.09012243500443963,0.9497636011387915,0.0,0,9
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.03292797551033872,0.8094523776068497,0.0,7,5
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.9131311431584099,1.0,5,5
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,1.0,0.18566602001709617,0.0,8,5
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.9036693536112518,1.0,5,5
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.9050092748314487,1.0,5,5
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.026574968337305327,0.8291348858725336,0.0,4,1
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.9979207415198539,1.0,2,2
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.11176022326401269,0.9415568148684649,0.0,4,2
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.3905729249325504,0.8319792687884534,0.0,5,9
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.8329904504891641,0.4361684439935352,0.0,1,9
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.8472560153227433,0.7577009773314681,0.0,3,9
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,0.7777777777777778,1.0,7,0
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.3477543489605677,0.1922072476469473,0.0,4,2
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.4127496191968014,0.0,6,3
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,0.5510440227703827,1.0,9,9
