model,ridge,held_out_group,mse
countsketch_1152_15173,0.001,mean,0.97394085406153
countsketch_1152_15173,0.01,0,0.48327085881710496
countsketch_1152_15173,0.01,2,1.2339272510323835
countsketch_1152_15173,0.01,4,1.5599828928181285
countsketch_1152_15173,0.01,6,0.6185891687256826
countsketch_1152_15173,0.01,mean,0.9739425428483248
countsketch_1152_15173,0.1,0,0.4835333892184498
countsketch_1152_15173,0.1,2,1.2285414373324817
countsketch_1152_15173,0.1,4,1.5631984771248733
countsketch_1152_15173,0.1,6,0.6213126942852925
countsketch_1152_15173,0.1,mean,0.9741464994902743
countsketch_1152_15173,1.0,0,0.4913936472361021
countsketch_1152_15173,1.0,2,1.202751594041829
countsketch_1152_15173,1.0,4,1.5823240906955531
countsketch_1152_15173,1.0,6,0.6384394793580421
countsketch_1152_15173,1.0,mean,0.9787272028328816
countsketch_1152_15173,10.0,0,0.5155112709741264
countsketch_1152_15173,10.0,2,1.1814941736213027
countsketch_1152_15173,10.0,4,1.6071118894531558
countsketch_1152_15173,10.0,6,0.6607029489607238
countsketch_1152_15173,10.0,mean,0.9912050707523272
countsketch_1152_15173,100.0,0,0.5771241607228486
countsketch_1152_15173,100.0,2,1.213188635692599
countsketch_1152_15173,100.0,4,1.6201849484866147
countsketch_1152_15173,100.0,6,0.6354232888200204
countsketch_1152_15173,100.0,mean,1.0114802584305207
countsketch_1152_15173,1000.0,0,0.7278634247899899
countsketch_1152_15173,1000.0,2,1.2696074526545122
countsketch_1152_15173,1000.0,4,1.683966779878648
countsketch_1152_15173,1000.0,6,0.6546385329854935
countsketch_1152_15173,1000.0,mean,1.084019047577161
countsketch_1152_15173,10000.0,0,0.996927917946724
countsketch_1152_15173,10000.0,2,1.3223509008250465
countsketch_1152_15173,10000.0,4,1.8231976322498014
countsketch_1152_15173,10000.0,6,0.7356589090430032
countsketch_1152_15173,10000.0,mean,1.219533840016144
countsketch_1152_15173,100000.0,0,1.2662685582633468
countsketch_1152_15173,100000.0,2,1.3863040562480053
countsketch_1152_15173,100000.0,4,2.0360298158400694
countsketch_1152_15173,100000.0,6,0.938564786785722
countsketch_1152_15173,100000.0,mean,1.406791804284286
