record_id,trajectory_id,time_index,split,sample_index,agent_pixel_error,agent_patch_error,block_pixel_centroid_offset,block_patch_centroid_offset,agent_patch_support,block_patch_support
23,4,3,construction,6,0.0009636361571173302,0.006412568429060265,0.08030507036923405,0.08079888150309707,2,16
23,4,3,construction,7,0.0007692318612021547,0.00567388471518487,0.0810201564378031,0.08131967217770837,2,16
23,4,3,construction,8,0.00035834794875896616,0.004437895689917867,0.08158588060344227,0.08151117761719641,1,16
23,4,3,construction,9,0.0010689875260993498,0.006179224445061932,0.08158588060344227,0.08151117761719641,2,16
23,4,3,construction,10,0.0012204966120570046,0.0012503795437797175,0.0818130789432053,0.0817731828476669,4,16
23,4,3,construction,11,0.001224306073136763,0.0025994310598394794,0.08187497760193752,0.08182854653894062,2,16
23,4,3,construction,12,0.0016482415190546796,0.004108103086319843,0.08177323901855976,0.08173346613738713,4,16
23,4,3,construction,13,0.0011614508439116826,0.005266977533200892,0.08182782537422303,0.08178167098260151,3,16
23,4,3,construction,14,0.0004522677500975622,0.0069264015511755934,0.08233850377013816,0.08285170462247624,2,16
23,4,3,construction,15,0.0009568240633766762,0.005129104377382565,0.08097287007436706,0.08155138135612677,2,16
23,4,3,construction,16,0.0009859765228887425,0.005892126530730729,0.08158588060344227,0.08151117761719641,1,16
23,4,3,construction,17,0.00037199645038729,0.004044635519517007,0.08158588060344227,0.08151117761719641,2,16
23,4,3,construction,18,0.001657687142243886,0.004082089489941766,0.08181581803193358,0.0817759806586127,4,16
23,4,3,construction,19,0.0011409379000191903,0.005224419914553437,0.0815731395784893,0.08149595481558093,3,16
23,4,3,construction,20,0.0012261259241979532,0.001224990490280314,0.08177515870814367,0.08173542305274514,4,16
23,4,3,construction,21,0.0012377461880791604,0.0026422689894043047,0.08151476528887357,0.08143786246861724,2,16
23,4,3,construction,22,0.001003188573326432,0.005911595242375433,0.080238078617737,0.08054881734141327,1,16
23,4,3,construction,23,0.00035492487251516223,0.004033873018929705,0.080238078617737,0.08054881734141327,2,16
23,4,3,construction,24,0.0005374365462664785,0.006637462994360588,0.08158588060344227,0.08151117761719641,2,16
23,4,3,construction,25,0.0009657771213162105,0.00515719983835583,0.08049508949059936,0.08073262002357362,2,16
24,4,4,construction,0,0.0013276862487115466,0.005544134970793518,0.08107309429759922,0.0815714350807496,2,16
24,4,4,construction,1,0.0013276862487115466,0.005544134970793518,0.08107309429759922,0.0815714350807496,2,16
24,4,4,construction,2,0.0008301131467909299,0.004763431267846909,0.0814046625309769,0.08184913219504722,4,16
24,4,4,construction,3,0.0012024824397026013,0.00654081403350408,0.0807808224333159,0.08099435091478488,3,15
24,4,4,construction,4,0.0006640381358421245,0.005549225877627275,0.0810072141286037,0.0814939317330155,3,16
24,4,4,construction,5,0.0008976616523721901,0.0070780124269461,0.08102661547111228,0.08151137138967404,3,16
24,4,4,construction,6,0.0008934833259582266,0.00443950733687623,0.08026153615365107,0.08005741342390278,2,16
24,4,4,construction,7,0.001029069431224454,0.006098050135740699,0.07924769290003465,0.07980867363479184,2,15
24,4,4,construction,8,0.0010486742311235566,0.0034404653426950795,0.0814046625309769,0.08184913219504722,2,16
24,4,4,construction,9,0.0007442775177841834,0.0030099471954865434,0.0814046625309769,0.08184913219504722,2,16
24,4,4,construction,10,0.00043731391721944844,0.005268007894210943,0.0814046625309769,0.08184913219504722,3,16
24,4,4,construction,11,0.0008204704011688136,0.004761760313814693,0.0814379628629776,0.08186373443493421,2,16
24,4,4,construction,12,0.0008704499172039843,0.0058599435982976305,0.08101403120315459,0.08149879803936637,3,16
24,4,4,construction,13,0.0006391029202859026,0.006337306887529309,0.08105251408883264,0.0815372502129546,2,16
24,4,4,construction,14,0.0010866230273679316,0.006622335115514914,0.0807414341289168,0.08057211272580893,2,16
24,4,4,construction,15,0.0009154846547812383,0.006343715723153547,0.0802319716792257,0.08003956360567525,2,16
24,4,4,construction,16,0.0003174337388276595,0.0029798729603987043,0.0814046625309769,0.08184913219504722,2,16
24,4,4,construction,17,0.0010269226297641631,0.006096577840102301,0.08142136243205415,0.08184082928391335,1,16
24,4,4,construction,18,0.0008885699772528296,0.005844127013476742,0.0814046625309769,0.08184913219504722,3,16
24,4,4,construction,19,0.0006712972128167545,0.006308477900100719,0.08107326672911354,0.08155801265543121,2,16
24,4,4,construction,20,0.00023428894979603176,0.005586720407157033,0.08108415492380296,0.08156721672203233,3,16
24,4,4,construction,21,0.0008330839150045132,0.004763949875519866,0.0810485722011818,0.08153330960072872,2,16
24,4,4,construction,22,0.00029452952079099336,0.0029775201628514034,0.08111396715151185,0.08120668132308557,2,16
24,4,4,construction,23,0.001054975429531595,0.006134105809968429,0.08111396715151185,0.08120668132308557,1,16
24,4,4,construction,24,0.0010903459310755198,0.0065990576578742475,0.0814046625309769,0.08184913219504722,2,16
24,4,4,construction,25,0.0008943836877259229,0.006305839866701146,0.08107348451177832,0.0811660459649925,2,16
25,5,0,evaluation,0,0.0009498579164387322,0.005165207217551169,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,1,0.0009498579164387322,0.005165207217551169,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,2,0.0004233878346446495,0.004293354167185043,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,3,0.00031079937241032,0.0064186863641627215,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,4,0.00022583803522505672,0.0036184289516625217,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,5,0.0007559364292111062,0.00480284343628268,0.07905665248525606,0.0792631397262645,2,16
25,5,0,evaluation,6,0.000890950128403292,0.004307499520912568,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,7,0.0005180877821553706,0.005976747442863275,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,8,0.0011313152677521127,0.004309369454636306,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,9,0.0013434155596334769,0.00443007691201058,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,10,0.0004991498428815279,0.005577205195675857,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,11,0.0004516815166481308,0.006173305543310313,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,12,0.0004389816267562194,0.003713772626219398,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,13,0.00019462529645977318,0.004305550961646803,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,14,0.0014710309479706632,0.006995391663452382,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,15,0.0009017879090472365,0.00610840445247658,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,16,0.0009218804525400915,0.004664447731660903,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,17,0.001106249151582755,0.004302856963330445,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,18,0.00046487089127442957,0.0037066004764485074,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,19,0.00023479590271970724,0.004329735044024777,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,20,0.0005203377745584803,0.005557205746442575,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,21,0.0004155078040431512,0.00613832809104137,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,22,0.0009119671166373493,0.004648654755608362,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,23,0.001138497816992551,0.004311260620839401,0.07970917674961789,0.07986063197834643,1,15
25,5,0,evaluation,24,0.0014483941992184638,0.006974585474326915,0.07970917674961789,0.07986063197834643,2,15
25,5,0,evaluation,25,0.0008880834113469303,0.006074329355854096,0.07970917674961789,0.07986063197834643,1,15
26,5,1,evaluation,0,0.00112249646286362,0.004663167433840235,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,1,0.00112249646286362,0.004663167433840235,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,2,0.0007875789639403071,0.0063192808546366315,0.07970917674961789,0.07986063197834643,2,15
26,5,1,evaluation,3,0.0014314763039171528,0.005911912058415842,0.07970917674961789,0.07986063197834643,3,15
26,5,1,evaluation,4,0.0008624113511220824,0.004406576787429626,0.07970917674961789,0.07986063197834643,2,15
26,5,1,evaluation,5,0.0012190518229103092,0.006697246539505322,0.07991394825369692,0.08007930886021278,3,15
26,5,1,evaluation,6,0.000872153537819708,0.003169531571048474,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,7,0.0011226237778859782,0.0025536822828301224,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,8,0.00044891377552742033,0.005323609913443528,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,9,0.0010900695526806484,0.006003249506039731,0.07970917674961789,0.07986063197834643,3,15
26,5,1,evaluation,10,0.0011564420741695348,0.007567331280759115,0.07970917674961789,0.07986063197834643,3,15
26,5,1,evaluation,11,0.0007972271864714949,0.004979121818395847,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,12,0.0009173854294731147,0.006487830832076588,0.07959706596264288,0.07971979978712962,2,15
26,5,1,evaluation,13,0.00084556072942208,0.004403309958668614,0.0793555484601386,0.07941960055443825,4,16
26,5,1,evaluation,14,0.0007886170013124856,0.0022894513960025134,0.07970917674961789,0.07986063197834643,4,15
26,5,1,evaluation,15,0.0008498559092249146,0.005706426872045655,0.07970917674961789,0.07986063197834643,3,15
26,5,1,evaluation,16,0.0008075041933438828,0.005030892083217968,0.07970917674961789,0.07986063197834643,4,15
